obsname,well_id,layer,row,col,land_elev_m,SWL_m,obs_head_m
obs_000346,7047986,0,813,1164,306.96258545,14.299965518188477,292.66261993181155
obs_000347,NK362,0,795,282,315.58657837,3.6576000000000004,311.92897837
obs_000348,7051612,0,955,962,237.77009583,4.099990148162842,233.67010568183716
obs_000349,54000000993,0,873,617,295.05368042,4.572,290.48168042
obs_000350,PT119,0,943,321,270.15142822,0.0,270.15142822
obs_000351,2909634,0,784,1261,198.60899353,3.699991017150879,194.9090025128491
obs_000352,7229048,0,1012,919,224.33813477,0.0,224.33813477
obs_000353,50000012727,0,972,823,239.08485413,1.524,237.56085413
obs_000354,14000002021,0,1094,569,245.07427979,1.2192,243.85507979
obs_000355,GQ923,0,719,482,231.3603363,0.0,231.3603363
obs_000356,1410263,0,812,949,260.88043213,0.0,260.88043213
obs_000357,2022782,0,1309,731,300.09127808,5.486400000000001,294.60487808
obs_000358,81000001697,0,1024,759,275.5390625,4.572,270.9670625
obs_000359,320007,0,1186,865,349.27529907,5.1816,344.09369907
obs_000360,2015939,0,1145,1003,274.34054565,0.0,274.34054565
obs_000361,7123801,0,873,923,218.91894531,0.0,218.91894531
obs_000362,262285,0,1141,881,243.2766571,2.1336,241.1430571
obs_000363,61000004197,0,924,561,201.75849915,9.7536,192.00489915
obs_000364,979848,0,1220,892,345.60910034,9.144,336.46510034
obs_000365,LV1524,0,951,1256,299.39648438,0.0,299.39648438
obs_000366,7138281,0,742,963,181.83283997,7.599981454467774,174.23285851553223
obs_000367,GG117,0,926,386,343.68713379,25.908,317.77913379
obs_000368,7051903,0,800,1103,219.07354736,5.19998724975586,213.87356011024414
obs_000369,61000004197,0,1029,750,291.57980347,9.7536,281.82620347
obs_000370,61000004197,0,1044,587,244.25447083,9.7536,234.50087083
obs_000371,61000004197,0,1077,600,277.315979,9.7536,267.562379
obs_000372,81392,0,1149,589,250.30995178,0.0,250.30995178
obs_000373,JD394,0,908,395,342.1647644,0.0,342.1647644
obs_000374,2047176,0,1116,957,317.01342773,10.972800000000001,306.04062773
obs_000375,26935,0,1123,520,223.99855042,3.048,220.95055041999998
obs_000376,5735568,0,801,1064,186.64057922,1.4999963779449463,185.14058284205507
obs_000377,LH252,0,701,381,368.08914185,6.096,361.99314185
obs_000378,1902576,0,836,1183,185.16575623,9.099978268432618,176.0657779615674
obs_000379,7127343,0,896,1082,162.18713379,0.0,162.18713379
obs_000380,45000008266,0,750,593,240.61906433,21.336000000000002,219.28306432999997
obs_000381,413558080141101,0,1106,1053,377.743927,1.8288000000000002,375.915127
obs_000382,6928566,0,856,1120,171.47975159,0.0,171.47975159
obs_000383,2034270,0,1238,716,278.15057373,5.486400000000001,272.66417373
obs_000384,57668,0,1105,563,227.75358582,10.668000000000001,217.08558582
obs_000385,E1340,0,965,1186,332.78717041,6.4008,326.38637041
obs_000386,7108522,0,967,976,253.74705505,0.0,253.74705505
obs_000387,334587,0,1177,539,235.88327026,9.144,226.73927025999998
obs_000388,46912,0,1121,591,253.21746826,4.2672,248.95026826
obs_000389,37000004886,0,874,683,233.50541687,4.572,228.93341687
obs_000390,7109607,0,860,1101,199.25053406,0.0,199.25053406
obs_000391,7050406,0,706,1208,427.58514404,15.899960879516602,411.6851831604834
obs_000392,61000014072,0,942,566,196.37307739,4.572,191.80107739
obs_000393,85706,0,1151,615,279.19302368,12.8016,266.39142368
obs_000394,2000971,0,991,971,210.71203613,5.499986961364747,205.21204916863525
obs_000395,38593,0,1147,931,370.78182983,5.486400000000001,365.29542983
